district_number,district_name,votes,non_pcp_votes,party,GPO,NDP,LIB,PCP,pcp_lead,flip,votes_flip,party_flip
072,Nipissing,35243.0,17645.0,PCP,997.0,12994.0,2794.0,17598.0,-47.0,True,17645,NON-PCP
073,Northumberland—Peterborough South,60423.0,33037.0,PCP,2740.0,14804.0,14603.0,27386.0,-5651.0,True,33037,NON-PCP
074,Oakville,56871.0,32034.0,PCP,1986.0,9424.0,20327.0,24837.0,-7197.0,True,32034,NON-PCP
075,Oakville North—Burlington,55351.0,29660.0,PCP,2052.0,13496.0,13487.0,25691.0,-3969.0,True,29660,NON-PCP
076,Orléans,63950.0,41441.0,LIB,1603.0,14033.0,24972.0,22509.0,-18932.0,True,41441,NON-PCP
077,Oshawa,54143.0,31549.0,NDP,1957.0,24301.0,4278.0,22594.0,-8955.0,True,31549,NON-PCP
078,Ottawa Centre,64403.0,54076.0,NDP,2266.0,29675.0,21111.0,10327.0,-43749.0,True,54076,NON-PCP
079,Ottawa South,52416.0,37097.0,LIB,1618.0,14250.0,20773.0,15319.0,-21778.0,True,37097,NON-PCP
080,Ottawa—Vanier,47958.0,37706.0,LIB,1955.0,14232.0,20555.0,10252.0,-27454.0,True,37706,NON-PCP
081,Ottawa West—Nepean,50545.0,33955.0,PCP,1937.0,16415.0,14810.0,16590.0,-17365.0,True,33955,NON-PCP
082,Oxford,52311.0,23159.0,PCP,2254.0,15917.0,3620.0,29152.0,5993.0,False,52311,PCP
083,Parkdale—High Park,54549.0,44728.0,NDP,2544.0,32407.0,9271.0,9821.0,-34907.0,True,44728,NON-PCP
084,Parry Sound—Muskoka,47143.0,24481.0,PCP,9438.0,10385.0,4071.0,22662.0,-1819.0,True,24481,NON-PCP
085,Perth—Wellington,46843.0,23107.0,PCP,2746.0,14385.0,5062.0,23736.0,629.0,False,46843,PCP
086,Peterborough—Kawartha,60790.0,37886.0,PCP,2024.0,20518.0,14946.0,22904.0,-14982.0,True,37886,NON-PCP
087,Pickering—Uxbridge,53193.0,30746.0,PCP,2105.0,17033.0,10851.0,22447.0,-8299.0,True,30746,NON-PCP
088,Renfrew—Nipissing—Pembroke,48199.0,14849.0,PCP,1436.0,8066.0,4701.0,33350.0,18501.0,False,48199,PCP
089,Richmond Hill,43371.0,21147.0,PCP,1248.0,7490.0,12108.0,22224.0,1077.0,False,43371,PCP
